Nro.,SEDE DEPARTAMENTAL,SUBSEDE DEPARTAMENTAL,PERSONAL A CONTRATAR,PERSONAL A CAPACITAR
265,SAN MARTIN - TARAPOTO,"DATEM DEL MARAÑON: (PROVINCIA DATEM DEL MARAÑON: BARRANCA, CAHUAPANAS, MANSERICHE, MORONA, PASTAZA, ANDOAS )",68,89
266,SAN MARTIN - TARAPOTO,"MARISCAL CACERES: (PROVINCIA MARISCAL CACERES: JUANJUI, CAMPANILLA, HUICUNGO, PACHIZA, PAJARILLO /PROVINCIA HUALLAGA: SAPOSOA, ALTO SAPOSOA, EL ESLABON, PISCOYACU, SACANCHE, TINGO DE SAPOSOA)",84,110
267,SAN MARTIN - TARAPOTO,"PICOTA: (PROVINCIA PICOTA: PICOTA, BUENOS AIRES, CASPISAPA, PILLUANA, PUCACACA, SAN CRISTOBAL, SAN HILARION, SHAMBOYACU, TINGO DE PONASA, TRES UNIDOS )",40,52
268,SAN MARTIN - TARAPOTO,"TOCACHE: (PROVINCIA TOCACHE: TOCACHE, NUEVO PROGRESO, POLVORA, SHUNTE, UCHIZA, SANTA LUCIA / PROVINCIA MARAÑON: CHOLON)",88,115
269,TACNA,"TACNA 1: (PROVINCIA TACNA: TACNA, LA YARADA LOS PALOS )",112,146
270,TACNA,TACNA 2: (PROVINCIA TACNA: CORONEL GREGORIO ALBARRACIN LANCHIPA ),116,151
271,TACNA,"TACNA 3: ( PROVINCIA TACNA: ALTO DE LA ALIANZA, CALANA, CIUDAD NUEVA, INCLAN, PACHIA, PALCA, POCOLLAY, SAMA / PROVINCIA TARATA: TARATA, HEROES ALBARRACIN, ESTIQUE, ESTIQUE-PAMPA, SITAJARA, SUSAPAYA, TARUCACHI, TICACO /PROVINCIA CANDARAVE: CANDARAVE, CAIRANI, CAMILACA, CURIBAYA, HUANUARA, QUILAHUANI / PROVINCIA JORGE BASADRE: LOCUMBA, ILABAYA, ITE /)",136,177
272,TUMBES,TUMBES 1: (PROVINCIA TUMBES: TUMBES ),72,94
273,TUMBES,"TUMBES 2: (PROVINCIA CONTRALMIRANTE VILLAR: ZORRITOS, CASITAS, CANOAS DE PUNTA SAL / PROVINCIA TUMBES: CORRALES, LA CRUZ, PAMPAS DE HOSPITAL, SAN JACINTO, SAN JUAN DE LA VIRGEN )",68,89
274,TUMBES,"ZARUMILLA: (PROVINCIA ZARUMILLA: ZARUMILLA, AGUAS VERDES, MATAPALO, PAPAYAL )",44,58
275,UCAYALI,CORONEL PORTILLO 1: (PROVINCIA CORONEL PORTILLO: CALLERIA/ PROVINCIA ATALAYA: YURUA / PROVINCIA PURUS: PURUS),108,141
276,UCAYALI,"ATALAYA: (PROVINCIA ATALAYA: RAIMONDI, SEPAHUA, TAHUANIA )",58,76
277,UCAYALI,"CORONEL PORTILLO 2: (PROVINCIA CORONEL PORTILLO: MANANTAY, CAMPOVERDE, IPARIA, MASISEA, NUEVA REQUENA )",112,146
278,UCAYALI,CORONEL PORTILLO 3: (PROVINCIA CORONEL PORTILLO: YARINACOCHA ),76,99
279,UCAYALI,"PADRE ABAD: (PROVINCIA PADRE ABAD: PADRE ABAD, IRAZOLA, CURIMANA, NESHUYA, ALEXANDER VON HUMBOLDT, HUIPOCA, BOQUERON )",70,91
280,UCAYALI,"UCAYALI: (PROVINCIA UCAYALI: CONTAMANA, INAHUAYA, PADRE MARQUEZ, PAMPA HERMOSA, SARAYACU, VARGAS GUERRA )",48,63
